productSKU,name,stockLevel,ratio,restockingLeadTime,total_ordered
GGOEWXXX0827," Women's Short Sleeve Tee",0,null,14,0
GGOEGAAX0349,Android BTTF Moonshot Graphic Tee,0,null,15,0
9182383," Men's Watershed Full Zip Hoodie Grey",0,null,7,0
9182752," Men's Short Sleeve Performance Badge Tee Charcoal",0,null,19,0
9183228," Cam Indoor Security Camera - USA",0,null,10,0
9183226,Android Luggage Tag,0,null,7,0
9182559,Android Men's Vintage Henley,0,null,12,0
9180782,Seat Pack Organizer,0,null,7,0
9181150,Gift Card - $250.00,0,null,12,0
9183186," G Noise-reducing Bluetooth Headphones",0,null,11,0
9182742," Men's Convertible Vest-Jacket Pewter",0,null,17,0
9180905," Men's Long Sleeve Raglan Ocean Blue",0,null,13,0
9184734," Learning Thermostat 3rd Gen-USA - Copper",0,null,19,0
9182785," Women's Lightweight Microfleece Jacket",0,null,8,0
9182502," Women's Yoga Jacket Black",0,null,10,0
9182737," Women's 3/4 Sleeve Baseball Raglan Heather/Black",0,null,17,0
9182751," Men's Performance Full Zip Jacket Black",0,null,14,0
9182771," Women's 1/4 Zip Jacket Charcoal",0,null,6,0
9182743," Men's Microfiber 1/4 Zip Pullover Blue/Indigo",0,null,7,0
9182569," Men's  Zip Hoodie",0,null,10,0
